,player_name,player_age,Total_kills,Headshot_in_%,Total_deaths,Kills_deaths,Damage_in_Round,Grenade_dmg_in_Round,Maps_played,Rounds_played,Kills_in_round,Assists_in_round,Deaths_in_round,Saved_by_teammate_in_round,Saved_teammates_in_round,Rating
44,JamYoung,20.0,5762,53.3,4676,1.23,81.9,3.2,282,7444,0.77,0.12,0.63,0.09,0.12,1.2
45,Candy,26.0,1510,30.7,1267,1.19,79.7,3.5,75,1931,0.78,0.12,0.66,0.1,0.1,1.15
46,XigN,24.0,13621,52.4,11268,1.21,83.0,2.7,669,17299,0.79,0.12,0.65,0.09,0.1,1.15
47,Nertz,22.0,2437,50.0,2146,1.14,89.8,5.1,111,2996,0.81,0.16,0.72,0.09,0.11,1.15
48,keznit,20.0,626,47.0,556,1.13,90.0,6.0,28,761,0.82,0.15,0.73,0.08,0.1,1.2
49,Sico,27.0,16415,34.9,12743,1.29,79.4,7.0,857,21744,0.75,0.14,0.59,0.09,0.1,1.15
51,KSCERATO,22.0,16244,50.0,12686,1.28,79.4,5.3,843,21920,0.74,0.13,0.58,0.08,0.1,1.19
52,blameF,24.0,15540,39.7,12367,1.26,85.3,6.8,765,20435,0.76,0.14,0.61,0.07,0.09,1.22
53,Woro2k,20.0,4690,34.7,3913,1.2,79.9,3.5,222,5990,0.78,0.1,0.65,0.08,0.1,1.16
54,killmatic,20.0,1838,33.3,1516,1.21,80.6,1.9,87,2345,0.78,0.1,0.65,0.07,0.11,1.17
55,isk,22.0,1892,30.4,1543,1.23,74.1,1.6,92,2524,0.75,0.08,0.61,0.08,0.11,1.13
56,Benkai,25.0,12164,46.7,10118,1.2,85.4,4.2,603,15560,0.78,0.14,0.65,0.07,0.1,1.14
57,PKC,20.0,829,36.6,700,1.18,85.7,4.1,42,1071,0.77,0.14,0.65,0.07,0.08,1.18
58,ju1ces,19.0,4472,46.0,3738,1.2,82.4,2.6,222,5737,0.78,0.13,0.65,0.09,0.12,1.18
59,XELLOW,21.0,20328,41.2,17254,1.18,81.1,1.8,987,25873,0.79,0.11,0.67,0.09,0.11,1.14
60,dizzyLife,26.0,6784,31.0,5576,1.22,82.7,3.9,345,8772,0.77,0.14,0.64,0.08,0.09,1.14
61,regali,19.0,2400,37.9,1984,1.21,76.9,1.9,114,3092,0.78,0.09,0.64,0.08,0.11,1.15
62,Jame,23.0,21379,25.3,16348,1.31,73.5,3.9,1118,29643,0.72,0.09,0.55,0.07,0.09,1.18
63,Texta,20.0,12510,40.3,10760,1.16,87.1,3.6,625,15713,0.8,0.18,0.68,0.1,0.13,1.21
64,zAAz,30.0,4339,53.6,3733,1.16,84.5,3.4,227,5502,0.79,0.15,0.68,0.09,0.09,1.13
65,dav1d,21.0,5236,53.8,4500,1.16,86.4,3.9,253,6666,0.79,0.15,0.68,0.11,0.12,1.2
66,vsm,22.0,9927,46.4,8474,1.17,84.5,3.0,481,12716,0.78,0.13,0.67,0.09,0.1,1.19
67,El1an,22.0,23842,27.3,19426,1.23,78.7,2.6,1185,31545,0.76,0.11,0.62,0.07,0.08,1.17
68,pallib0ndi,29.0,1090,39.3,949,1.15,87.4,4.9,55,1367,0.8,0.16,0.69,0.09,0.09,1.13
69,dunno,29.0,417,39.1,350,1.19,74.9,3.1,24,562,0.74,0.11,0.62,0.11,0.13,1.14
70,oskar,30.0,29315,30.5,24456,1.2,78.2,3.4,1457,38422,0.76,0.1,0.64,0.07,0.08,1.13
71,RaSHNeSS,29.0,688,45.6,560,1.23,83.0,5.0,38,890,0.77,0.13,0.63,0.07,0.09,1.19
72,shield,18.0,1591,30.8,1314,1.21,74.2,3.0,78,2117,0.75,0.09,0.62,0.09,0.11,1.15
73,sk0R,19.0,5155,50.4,4435,1.16,81.5,3.8,242,6568,0.78,0.11,0.68,0.09,0.11,1.16
74,mhL,19.0,8307,28.5,6933,1.2,79.9,3.9,405,10884,0.76,0.12,0.64,0.1,0.11,1.17
75,SunPayus,23.0,4595,30.0,3767,1.22,75.9,3.8,234,6259,0.73,0.1,0.6,0.08,0.1,1.17
76,fredi,29.0,4668,42.7,4010,1.16,85.1,8.1,233,6029,0.77,0.15,0.67,0.1,0.11,1.13
77,Jimpphat,15.0,1346,53.6,1164,1.16,81.7,4.8,64,1776,0.76,0.12,0.66,0.1,0.11,1.13
78,frozen,19.0,22322,55.1,19037,1.17,83.5,5.0,1120,29255,0.76,0.13,0.65,0.09,0.11,1.13
79,kennyS,26.0,37067,31.2,30736,1.21,74.7,3.4,1852,48898,0.76,0.11,0.63,0.09,0.11,1.13
80,yuurih,22.0,18512,44.6,15557,1.19,84.5,4.9,935,24389,0.76,0.15,0.64,0.09,0.11,1.19
81,Petra,28.0,1915,37.2,1653,1.16,82.5,3.4,102,2487,0.77,0.15,0.66,0.1,0.1,1.17
82,huNter-,25.0,28420,49.4,24423,1.16,85.1,5.5,1389,36602,0.78,0.14,0.67,0.1,0.11,1.12
83,ZKi,29.0,705,44.4,605,1.17,89.5,6.1,39,927,0.76,0.15,0.65,0.1,0.13,1.12
84,mantuu,24.0,13121,36.3,10895,1.2,77.0,3.4,655,17537,0.75,0.11,0.62,0.09,0.12,1.16
85,mattcd,28.0,4459,33.7,3683,1.21,73.3,2.0,234,5998,0.74,0.09,0.61,0.07,0.08,1.13
86,Freeman,22.0,14141,49.4,11989,1.18,80.3,2.9,730,18621,0.76,0.13,0.64,0.09,0.11,1.16
87,woxic,23.0,20250,32.5,16856,1.2,76.9,2.2,1045,27336,0.74,0.11,0.62,0.09,0.1,1.12
